Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0098978~glutamatergic synapse	128	11.377777777777778	2.3193197542849342E-45	TRIO, CLSTN2, CPNE4, CBLB, ICAM5, IL1RAP, HTR4, CDH9, CDH8, CELSR3, NR3C2, DOCK10, TNR, RGS9, LZTS1, PPFIA2, SH3GL1, LZTS3, EPHA7, MAP2K1, CXADR, SLC30A3, CACNA2D1, PRKCE, ACTN1, HPCAL1, SHISA9, SHISA7, BCAN, TANC1, TIAM1, OLFM1, ARC, ADGRB2, ELMO1, DGKI, GRIA2, NRN1, CTTNBP2, PCDH10, LPAR1, NEDD4L, CACNA1C, LIN7C, CPLX2, KALRN, CORO1A, CACNA1H, CORO1B, PORCN, GRIN2A, PACSIN2, GSG1L, NPTX1, PRRT1, NTNG1, NTNG2, BTBD9, LRFN5, CC2D1A, FGFR1, GABRB2, KCNC3, RASGRF2, PTPRO, KCNC4, ELAVL4, GRIK3, GRIK4, DOC2B, GRIK2, SIPA1L2, GRM1, GRM2, PPP3CA, CALB1, GRM7, LRRTM3, LRRTM4, CRTAC1, SUMO2, TMEM108, PHF24, NOS1, ERC2, DLGAP2, CAP1, KCND2, GRID1, ELMOD1, NRG1, NRG2, SEZ6L, SPTB, C1QL3, C1QL2, NRG3, LRRC7, IL1RAPL1, ITGA8, RGS7BP, CAMK2B, TAMALIN, PLPPR4, KCNA4, ADD2, CACNG8, SV2B, ABLIM3, SLITRK1, PTK2B, GPC4, NCDN, CSMD2, GABRD, KCNJ2, LGI1, KCNJ4, NTRK3, PCDH8, ATP2B4, SEMA4F, BAIAP2, SEPTIN7, SYT10, FILIP1, RBMX, HCN1	1093	808	30060	4.356797985379508	1.618885188490884E-42	1.618885188490884E-42	1.447255526673799E-42
GOTERM_MF_DIRECT	GO:0005515~protein binding	373	33.15555555555555	6.2657088503274E-36	TDRKH, MAPKBP1, TRAF3IP1, CPNE4, GORAB, PLEKHB1, STMN2, CBLB, ICAM5, HTR4, ELK1, SMC4, RPS6KA3, RNF112, LSM11, LGALS1, UBASH3B, AKT2, DPYSL3, DPF3, CDON, ACVR1, WDHD1, EPHA7, MEF2C, CXADR, IL1R1, PRKCB, CACNA2D1, ACTN1, PRKCE, MRTFB, HPCAL1, RFX3, MRTFA, IFT80, P3H3, RUNX2, MED6, TIAM2, TIAM1, ARC, CARHSP1, TWSG1, XRN1, ADGRB2, TYRO3, RELCH, PRKD1, ZFPM2, ATF6, TELO2, RTEL1, NRN1, SDC4, HEPACAM, TSHZ2, PCDH15, LYPD1, LPAR1, NEDD4L, BAZ2A, RIC8A, APH1A, BLOC1S4, CYB5R4, GRIN2A, DHX33, KCNQ1OT1, INPP5D, EPB41L3, PIP5K1B, SNX7, PAG1, NTNG1, NTNG2, JUN, STARD13, BCL11B, GTF2IRD2, DCLK3, PBX2, RAB27A, STAM, EHD1, MOV10, ANLN, EHD3, OCLN, PKIA, MKX, FAT4, CC2D1A, FBXL7, GABRB3, RYR1, GABRB2, ROBO3, RYR2, CLIC4, KCNC2, PTPRO, ARHGAP1, GRIK3, GRIK4, DOC2B, GRIK2, LITAF, ZFP809, PPP3CA, ZMYM3, CSRP1, CRTAC1, PHF24, NELFCD, TEAD1, CAP1, VAV3, ZHX2, PBRM1, CNOT6L, MYOC, KCND2, ACTL6B, KCND3, SPHK2, TFE3, PGAM2, TET2, RHOG, RRAS2, GAB3, EPS15L1, PROX1, NCOR2, CLDN11, KIT, PITPNM2, MED20, PELI1, RAPGEF1, RGS7BP, HAP1, MICU2, CRYAB, VGLL4, TAMALIN, PLPPR3, PLPPR4, KCNA4, PHYHIP, FGD1, PTCHD1, FRZB, EXOSC8, NTF3, GPC3, LEO1, NCDN, MEF2D, GABRA2, CAR2, IL33, MPP3, ATAD5, ATRNL1, PLEKHA2, WNT7B, SORBS2, SEPTIN4, MIAT, SEPTIN7, GATAD2B, HIPK3, PER3, PRKRA, KIF26B, ALMS1, PLP1, B9D1, PRDM8, RAB3C, RIPOR2, CRTC3, GDA, IRS1, CSE1L, IL1RAP, TOMM20, SLC8A1, NR3C2, EFTUD2, KIF5A, SLC39A6, CAPN3, EP300, CIR1, CAPN1, RGS9, MAP3K4, PPFIA2, MEN1, SH3GL1, KIRREL3, PIAS4, TLE4, MAP2K1, FBXW5, DSCAM, IGFBP4, FBXW11, USP4, THOC1, FRMD4B, ZBTB33, NEAT1, OLFM4, MYT1, KLHL40, PRLR, FBXO11, SHISA7, ENKUR, MYCL, PYGO2, OLFM1, MAG, MYCN, DOK5, ELMO1, RAD54L2, FKBP5, NOTCH2, HOMEZ, GRIA2, KHDRBS2, YTHDC2, MAZ, LTBP4, CHRD, CACNA1D, CACNA1C, BHLHE22, NREP, LIN7C, CACNA1E, CORO1A, NALCN, FOXO1, CORO1B, CACNA1H, RHOBTB2, NEUROD1, NEUROD2, DPP6, BAG4, PORCN, NPHP1, PACSIN2, E4F1, PLXNA4, GCN1, ENKD1, MAP2K6, STRA6, SMAD3, AUTS2, PHF12, STYX, LRP1B, IGF2R, TMEM231, ABHD15, CDK9, SPAG6L, LRFN2, LRFN5, DIAPH2, BMP1, PAN3, LRCH1, RIOX1, HOOK2, CNTN2, TAB1, OSBPL1A, SLC26A4, MCU, LHX9, FGFR1, DAGLA, FLT3, SCHIP1, TRADD, NGLY1, TRF, ADAR, LDB2, GRM1, SYNE1, SPRED2, SUMO2, ME1, TMEM108, NOS1, ERC2, PRKG1, DSP, TRPC6, CERS6, DCC, GRID1, PLEKHG5, ARNT, NRG1, C1QL3, SPTB, C1QL2, TGFBR2, TGFBR3, GAP43, TFDP1, PSRC1, NRG3, POLR1B, RASA1, TRAF5, COL6A1, IL1RAPL1, IRF5, CDH15, MCM6, SMPDL3B, ASPA, CAMK2B, CEBPB, SEC23A, USP27X, CEBPD, DDX20, ATP1A1, ACVR1B, SV2C, SLITRK1, NOCT, NRIP2, PDE6D, PTK2B, MAPK1, KCNJ2, CLASP1, LGI1, GADD45GIP1, NTRK3, MID1IP1, SYT16, ATP2B4, SYT14, SEMA4F, CDC42BPB, BAIAP2, EPOR, ACVR2A, SLC4A7, NIN, SYT10, CROCC, TAF8, PTPN6, SPRY1, UNC79, SNTB2, HCN1	1077	5504	29205	1.8376885688605302	7.130376671672582E-33	7.130376671672582E-33	6.860951191108503E-33
GOTERM_CC_DIRECT	GO:0016020~membrane	483	42.93333333333334	3.256086537381782E-27	TDRKH, CHIC1, STMN2, HTR4, RNF112, GPR176, AKT2, PGAP6, SMCO4, CCBE1, CXADR, UNC5A, CACNA2D1, PRKCE, HPCAL1, PHKA2, TRHR, GPR162, SCO2, ORAI2, TYRO3, PRKD1, ATF6, GTSF2, EXD2, LYPD1, IL20RB, RIC8A, CYB5R4, GRIN2A, GJC3, RDH10, EPB41L3, ADAMTS17, CHST15, GSG1L, PIP5K1B, ST3GAL1, PRRT1, SDR42E1, STARD13, HACE1, ABCA5, D430041D05RIK, SLC16A10, PAFAH2, EHD1, FA2H, EHD3, RAD17, FAT4, XKR6, GABRB3, HRK, GABRB2, KCNC2, KCNC3, KCNC4, ARHGAP1, CYB561D1, 4933415A04RIK, LITAF, LYST, JPH1, TMEM186, A530017D24RIK, DLGAP2, NDC1, CHST9, CHST7, KCND2, MYOC, MIOS, PLLP, KCND3, SPHK2, OPALIN, SLC2A13, ELMOD1, RRAS2, EPS15L1, JOSD1, COPZ1, ELAPOR1, WDR33, PIGB, SLC7A6, RILPL2, MMP16, MMP17, SLC29A4, PGAM5, DSCAML1, TAMALIN, PLPPR1, PLPPR3, PLPPR4, PLPPR5, KCNA4, TMEM69, ARFRP1, RECQL5, ERMP1, NTF3, NCDN, CSMD2, CSMD1, GABRA2, RIC1, ATRNL1, KCNB2, TMCO4, SEPTIN7, GATM, LPCAT3, PLP1, GM14636, KCNG1, DGKG, SEMA5A, RAB3C, CLSTN2, GPR68, IL1RAP, CDH9, SERTM1, SLC8A1, CDH8, SLC8A2, TM7SF2, CNTNAP5A, SLC39A6, SLC26A10, SLC39A2, LZTS1, SYBU, TLE4, MAP2K1, DGAT2, VPS33A, FAM118A, DISP3, PYGO2, MAG, RAB36, SLC9A7, MAL, ROR1, UPK3BL, FAM8A1, DGKI, OSBP2, DGKH, NOTCH2, IPPK, GRIA2, CEMIP, D630045J12RIK, CNP, TMEM121B, LIN7C, CORO1A, GM48551, PORCN, BAG4, SLC38A7, MBP, PLXNA4, STRA6, RASL10A, SLC4A10, SYNJ2, PTPRE, LRFN2, LRFN5, LRCH1, GGCX, REEP2, MAP3K13, SLC26A4, MCU, DAGLA, KCNK9, FLT3, RASGRF2, TRF, DUSP18, SYNE1, GAL3ST3, DSP, CERS4, TRPC6, CERS6, COL25A1, GRID1, VPS13C, PLEKHG5, VPS13A, NRG1, NRG2, SEZ6L, SPTB, ARFGAP2, NRG3, CATSPERD, TMBIM1, IL1RAPL1, ITGA8, LCT, SMPDL3B, VSTM2B, SEC23A, PRCD, VXN, TSPAN33, CACNG8, CNNM1, SLITRK1, NNAT, SH3BP5, KCNJ2, KCNJ4, LINGO2, SLC35A1, PPP1R14A, KCNJ6, MARCKSL1, KCNIP2, KCNJ9, NTRK3, ERAP1, PCDH8, KCNIP4, SYT16, SYT14, SEMA4F, LYSMD3, CDC42BPB, BAIAP2, EVI2A, SYT10, ST7, UNC79, CPNE7, PLEKHB1, ICAM4, ICAM5, SYNPR, TUNAR, THSD7A, PTGDS, CDON, ACVR1, TMEM88B, PAQR9, EPHA7, IL1R1, ACTN1, SLC6A15, SLC35C1, ALG3, MFSD12, TIAM2, INPP4B, TIAM1, ARC, ADGRB2, RRAGD, CTXN2, TELO2, KCTD16, NRN1, IGSF3, SDC4, TMEM63B, UGT8A, HEPACAM, TMEM63C, LPAR1, PCDH15, APCDD1, APH1A, NKAIN3, INPP5D, TSPAN2, STXBP6, DECR2, SNX7, SCN3B, SCN3A, PAG1, TRPM3, NTSR2, NTNG1, NTNG2, PCDH20, RAB27A, STAM, GNG11, OCLN, NDUFAF6, INTS5, C2CD2L, FBXL7, SLC44A5, RYR1, ROBO3, RYR2, CLIC4, C2CD5, SLC35F3, PTPRO, SLC7A14, GRIK3, GRIK4, PTPRJ, DOC2B, GRIK2, PTPRK, PCSK5, CX3CL1, PPP3CA, DNER, SCD1, RALGPS1, CAP1, 0610040B10RIK, PARP6, MMD, TFE3, RHOG, GFRA1, PLAAT3, GFRA2, TLCD3B, ANO3, CLDN11, 2010204K13RIK, KIT, PITPNM2, RGS7BP, CD46, MFGE8, AMER3, PVT1, ZDHHC21, MFSD4A, PTCHD1, GPC3, GPC4, MGAT2, PTCHD4, GABRD, EMC8, MARCHF5, LMLN, CAR2, MPP3, MOG, PLEKHA2, SUSD1, SORBS2, PLEKHA8, SPCS3, KCNS1, B9D1, RIPOR2, GALNT14, GALNT13, GALNT17, NPY2R, KLHL32, TOMM20, CELSR3, NR3C2, TEPSIN, FRRS1L, ENPP2, CAPN1, FAM3C, CAR12, RGS9, BORCS5, SH3GL1, KIRREL3, SZT2, DSCAM, SLC30A3, ALG11, NPNT, SHISA9, PRLR, SHISA7, TMEM131, PLA2G15, COL4A1, GPRIN1, SCNN1A, ELMO1, XPR1, SLC41A2, NTM, LTBP4, CACNA1D, CACNA1C, CACNA1E, NALCN, NDRG1, CSF2RA, CACNA1H, TIMM50, DPP6, PACSIN2, BRINP3, CNTN5, CACFD1, TRPV2, MACO1, ARHGAP27, LRP1B, IGF2R, TMEM231, COQ4, AJM1, FAM163B, CNTN2, CNTN3, MAN2B1, BRWD3, LRP11, FGFR1, MCTP1, 9430053O09RIK, GRM1, SPRED2, SEC61A1, GRM2, GRM7, LRRTM3, LRRTM4, TMEM108, NOS1, 4833422C13RIK, ARFGEF3, ABCC8, DCC, TGFBR2, TGFBR3, RUSF1, GAP43, NDUFS5, GORASP1, CDH12, CDH15, B4GALT5, CAMK2B, GOSR1, ATP1A1, ACVR1B, ADD2, PRTG, RAB40B, GNG2, SV2C, SV2B, PDE6D, CLVS2, SPOCK1, PTK2B, MAPK1, CHSY3, EGFEM1, NEGR1, CMTM5, ATP2B4, ACVR2A, EPOR, SLC4A7, KANSL1, SPRY1, QRICH1, SNTB2, HCN1	1093	8760	30060	1.5163932371630175	2.2727484030924837E-24	1.1363742015462419E-24	1.015898999663116E-24
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	420	37.333333333333336	2.958581476351885E-24	TDRKH, MAPKBP1, TRIO, POP7, NEXMIF, WIPF3, STMN2, HTR4, ADARB2, SMC4, RNF112, UBASH3B, AKT2, DPYSL3, RBFOX1, MEF2C, CXADR, PRKCB, PRKCE, STARD9, MRTFB, HPCAL1, MRTFA, IFT80, HCFC2, EML5, LRATD1, LRATD2, HECW1, PRKD1, EXD2, LXN, NEDD4L, IQGAP2, PRDM11, RIC8A, BLOC1S4, CYB5R4, GRIN2A, RDH10, EPB41L3, PIP5K1B, STARD13, PLK5, HACE1, CDC7, INO80, FAM136A, PAFAH2, EHD1, MOV10, EHD3, AGO4, PKIA, CDIN1, PKIG, SETD4, DENND1B, SMG1, KCNC3, ARHGAP1, SMG7, LITAF, LYST, CSRP1, PHF24, TNKS1BP1, NDC1, CNOT6L, MIOS, IFT140, SPHK2, SLC2A13, EPS15L1, JOSD1, COPZ1, RILPL2, LRRC7, RILPL1, RAPGEF1, HAP1, DSCAML1, CRYAB, RNF166, GAS7, TAMALIN, FGD1, RECQL5, FRZB, ZSWIM8, PMS2, NCDN, MEF2D, MBD4, RIC1, SEPTIN1, WDR19, RFLNB, SEPTIN4, TUBB4A, SEPTIN7, HIPK3, MZT2, ALMS1, FILIP1, DGKG, PUS10, IRS1, CSE1L, FGF5, CIR1, LZTS1, MAP3K4, MEN1, LZTS3, PIAS4, MAP2K1, FBXW5, DGAT2, USP4, ANKRD45, THOC1, FRMD4A, FRMD4B, THNSL1, FBXO11, ENKUR, DISP3, MRTO4, AAGAB, DGKI, CDKL1, CSNK1G1, FKBP5, DGKH, NOTCH2, IPPK, CEMIP, CNP, TUBGCP2, MAZ, GMPS, SPATA2, AK5, NREP, LIN7C, CORO1A, FHIT, FOXO1, CORO1B, NEUROD1, BAG4, MOBP, BTBD3, E4F1, MBP, MAP2K6, BRPF1, NEK6, HPS1, STYX, SYNJ2, BTBD9, CDK9, MOB1B, PTPRE, IRAK1BP1, LRCH1, MAP3K13, OSBPL1A, DRC1, GDPGP1, PPP1R13B, DAGLA, SCHIP1, CELF2, TRADD, RASGRF2, DUSP18, DUSP16, SYNE1, ME1, UPP1, ERC2, PRKG1, BCAS1, DSP, TRPC6, APAF1, PLEKHG5, ARNT, NRG1, SPTB, ARFGAP2, TFDP1, TRAF5, IL1RAPL1, ASPA, CEBPB, SEC23A, USP27X, PRCD, TSPAN33, CNNM1, ABLIM3, NOCT, NNAT, SH3BP5, ALOXE3, FDXACB1, NOP56, PPP1R14A, MARCKSL1, KCNIP2, MID1IP1, NTRK3, ERAP1, KCNIP4, CDC42BPB, BAIAP2, NIN, TAFA2, IMPDH1, ZFP354C, CROCC, PTPN6, AHCYL2, TRAF3IP1, GORAB, CPNE7, PLEKHB1, CBLB, RPS6KA3, LGALS1, TUNAR, CCN3, PTGDS, CDON, ACTN1, KRT2, RUNX2, TIAM2, INPP4B, CARHSP1, ARC, TRIM17, XRN1, RRAGD, ZFPM2, TELO2, PDE1B, HEPACAM, LPAR1, TWF2, PCDH15, KALRN, DHX33, INPP5D, INPP5J, APOD, STXBP6, EGR1, XRCC4, SPHKAP, INTS3, DCLK3, STAM, ANLN, NDUFAF6, INTS5, TECPR2, CC2D1A, FBXL7, CCNJL, RYR1, CLIC4, C2CD5, DOC2B, SIPA1L2, LIMD2, PPP3CA, PCF11, ENC1, RALGPS1, CAP1, VAV3, STRADB, TFE3, MINK1, PLAAT3, GAB3, PROX1, VWA8, 2310022B05RIK, KIT, PITPNM2, RGS7BP, PNCK, DOT1L, CST7, PHYHIP, CAMKK1, EXOSC8, EMC8, AASDHPPT, LMLN, CAR2, IL33, PLEKHA2, SORBS2, PLEKHA8, TPPP3, PER3, PRKRA, KIF26B, OTULIN, B9D1, ENGASE, RIPOR2, CRTC3, NR3C2, DOCK10, TEPSIN, KIF5A, CAPN3, EP300, CAPN1, RGS9, PPFIA2, FBXW17, SH3GL1, SLC30A3, FBXW11, ANXA11, KLHL40, KCTD6, ERMN, POLG2, DOK5, SCNN1A, ELMO1, XPR1, CTTNBP2, YTHDC2, CACNA1C, CPLX2, NDRG1, PDZD2, SNTG1, NPHP1, PACSIN2, ISOC1, BRINP3, GCN1, ENKD1, SMAD3, AUTS2, TRPV2, ARHGAP27, POU2F2, DNAJC17, QDPR, SPAG6L, GNAL, FGF14, PAN3, HOOK2, TAB1, ZCCHC2, FGFR1, NGLY1, ELAVL4, ADAR, SPRED2, RBM4, CALB1, MAN2C1, NOS1, STPG1, NAA30, NAV1, TGFBR3, GAP43, PSRC1, GORASP1, ALDH1A1, IRF5, ATG4A, RBM24, RBM22, CAMK2B, USP13, PDXK, DDX20, CYGB, ADD2, RAB40B, DCDC2A, NRIP2, MKNK1, PDE6D, NAA25, SPOCK1, TOGARAM1, PTK2B, MAPK1, ENTR1, CLASP1, LGI1, RWDD3, MEIS2, ACVR2A, SPATA2L, SLC4A7, SIMC1, TAF8, SPRY1, QRICH1, RBM45, SNTB2	1093	7472	30060	1.5458994457625028	2.065089870493616E-21	6.883632901645386E-22	6.153849470811921E-22
GOTERM_CC_DIRECT	GO:0045202~synapse	111	9.866666666666667	5.081771185326805E-24	CLSTN2, CPNE4, CPNE7, ROGDI, WIPF3, IL1RAP, HTR4, CDH9, SLC8A1, SLC8A2, DOCK10, SYNPR, RNF112, FRRS1L, DPYSL3, LZTS1, PPFIA2, SH3GL1, LZTS3, SLC30A3, DSCAM, SHISA9, SHISA7, TIAM2, BCAN, TANC1, TIAM1, OLFM1, ARC, ADGRB2, DGKI, KCTD16, GRIA2, NRN1, CTTNBP2, LYPD1, PCDH15, CACNA1C, LIN7C, CPLX2, CORO1A, CORO1B, DPP6, GRIN2A, GSG1L, PRRT1, CNTN5, SLC4A10, MACO1, SYNJ2, LRFN2, FGF14, CNTN2, CC2D1A, GABRB3, GABRB2, DAGLA, MCTP1, KCNC2, KCNC3, GRIK3, GRIK4, DOC2B, GRIK2, ELAVL2, GRM2, PPP3CA, CALB1, GRM7, LRRTM3, LRRTM4, TMEM108, NOS1, ERC2, DLGAP2, BCAS1, KCND2, GRID1, PLEKHG5, ELMOD1, MINK1, NRG1, GAP43, NRG3, LRRC7, ALDH1A1, HAP1, DSCAML1, CAMK2B, TAMALIN, PLPPR4, CACNG8, GNG2, SV2C, DCDC2A, PTCHD1, SV2B, ABLIM3, SLITRK1, GPC4, NCDN, GABRD, LGI1, GABRA2, KCNJ4, PCDH8, SEMA4F, SORBS2, SEPTIN4, SEPTIN7, SNTB2	1093	1042	30060	2.9297062268527867	3.54707628735811E-21	8.867690718395275E-22	7.927563049109816E-22
GOTERM_CC_DIRECT	GO:0045211~postsynaptic membrane	55	4.888888888888889	3.387824697772206E-22	GABRB3, GABRB2, DAGLA, CLSTN2, KCNC2, KCNC3, KCNC4, GRIK3, GRIK4, GRIK2, CDH9, SLC8A1, GRM1, SYNE1, SLC8A2, GRM2, GRM7, LRRTM3, LRRTM4, LZTS1, EPHA7, KCND2, GRID1, KCND3, CACNA2D1, SEZ6L, SHISA9, SHISA7, ARC, LRRC7, IL1RAPL1, KCTD16, GRIA2, TAMALIN, PCDH10, PLPPR4, LPAR1, KCNA4, CACNA1C, LIN7C, CACNA1E, CACNA1H, GRIN2A, CACNG8, GABRD, KCNJ2, KCNJ4, GABRA2, PRRT1, NTRK3, PCDH8, SEMA4F, LRFN2, CNTN2, HCN1	1093	306	30060	4.9432215704213975	2.3647016390449997E-19	4.729403278089999E-20	4.2280052228197126E-20
GOTERM_CC_DIRECT	GO:0098839~postsynaptic density membrane	37	3.288888888888889	6.6901049435634E-20	GRIA2, DAGLA, CLSTN2, PLPPR4, PTPRO, GRIK3, GRIK4, CACNA1C, GRIK2, LIN7C, CELSR3, GRM1, GRIN2A, CACNG8, LRRTM3, SLITRK1, LRRTM4, TMEM108, GSG1L, CSMD2, RGS9, LZTS1, PRRT1, EPHA7, GRID1, DCC, SEMA4F, NRG1, SHISA9, SHISA7, LRFN2, LRFN5, ARC, LRRC7, IL1RAPL1, ITGA8, RGS7BP	1093	149	30060	6.829427043357056	4.669693250607253E-17	7.782822084345422E-18	6.957709141305936E-18
GOTERM_CC_DIRECT	GO:0030424~axon	68	6.044444444444444	6.036398645719678E-19	ROBO3, KCNC2, ROGDI, KCNC4, ELAVL4, GRIK3, GRIK4, PTPRK, GRIK2, CDH9, SLC8A1, GRM1, SLC8A2, GRM2, CALB1, GRM7, KIF5A, TMEM108, CCN3, PPFIA2, CDON, KIRREL3, MAP2K1, DSCAM, IL1R1, DCC, PLEKHG5, MINK1, HPCAL1, NRG1, GFRA1, CLDN11, BCAN, OLFM1, GAP43, ALDH1A1, IL1RAPL1, ROR1, RGS7BP, CRYAB, DSCAML1, GRIA2, HEPACAM, NTM, KCNA4, CACNA1C, ATP1A1, CORO1A, PRTG, NTF3, SLC38A7, PTK2B, MAPK1, SCN3A, GABRD, GABRA2, NTNG2, CAR2, KCNJ6, CNTN5, NTRK3, TRPV2, MACO1, SEPTIN4, NIN, CNTN2, CNTN3, HCN1	1093	532	30060	3.5153299534288607	4.213406254712335E-16	6.019151792446193E-17	5.381018221327255E-17
GOTERM_BP_DIRECT	GO:0007399~nervous system development	61	5.422222222222222	7.368102032163473E-19	SEMA5A, PRDM8, GABRB3, ROBO3, NEXMIF, LDB2, RNF112, DPYSL3, DPF3, RGS9, CDON, EPHA7, ZHX2, RBFOX1, SRRM4, MEF2C, ACTL6B, DSCAM, VPS13A, NAV1, SOX11, NRG1, GFRA1, NRG2, MYT1, GFRA2, GAP43, NRG3, TYRO3, ITGA8, PRKD1, DSCAML1, KDM7A, GAS7, CAMK2B, PLPPR1, NRN1, NTN5, BHLHE22, ACVR1B, CPLX2, KALRN, VXN, NEUROD1, NEUROD2, DCDC2A, NEUROD6, SLITRK1, BTBD3, NTF3, SLIT1, SLIT3, SCN3B, BRINP3, MEF2D, PLXNA4, NTNG1, NTNG2, NTRK3, SEMA4F, RBM45	1084	439	29878	3.8299010666644255	2.804299633441418E-15	2.8035628232382015E-15	2.751249298809841E-15
GOTERM_CC_DIRECT	GO:0042995~cell projection	112	9.955555555555556	9.528184004908998E-18	RIPOR2, TRIO, CLSTN2, TRAF3IP1, ROGDI, STMN2, SLC8A1, SLC8A2, DOCK10, RNF112, DPYSL3, SLC39A6, THSD7A, LZTS1, PPFIA2, SH3GL1, LZTS3, KIRREL3, UNC5A, DSCAM, ACTN1, IFT80, SHISA9, ENKUR, TIAM2, OLFM1, ARC, GPRIN1, SCNN1A, ROR1, DGKI, KCTD16, D630045J12RIK, CNP, CTTNBP2, PDE1A, TWF2, CACNA1C, CPLX2, RHOBTB2, GRIN2A, NPHP1, SLC38A7, PACSIN2, MBP, ENKD1, AUTS2, SLC4A10, SYNJ2, TMEM231, EHD1, SPAG6L, ANLN, EHD3, AJM1, DRC1, C2CD5, DAGLA, KCNC2, KCNC3, ELAVL4, PTPRJ, CX3CL1, GRM2, PPP3CA, TMEM108, NOS1, ERC2, MYOC, KCND2, IFT140, KCND3, PLEKHG5, SLC2A13, MINK1, RHOG, SPTB, GAP43, RILPL2, CATSPERD, RILPL1, ALDH1A1, IL1RAPL1, HAP1, PLPPR1, PRCD, KCNA4, ATP1A1, FGD1, ANKMY2, DCDC2A, PDE6D, PTK2B, TOGARAM1, PMS2, ENTR1, NCDN, GABRA2, KCNB2, WDR19, PCDH8, ATP2B4, SEMA4F, SORBS2, SEPTIN4, CDC42BPB, BAIAP2, TUBB4A, SEPTIN7, SLC4A7, CROCC, B9D1	1093	1278	30060	2.4102160998930455	6.650672435426481E-15	8.313340544283101E-16	7.431983523829019E-16
